"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","188","Test that additionalneeds can be updated","tests","Mon Mar 02 01:12:40 UTC 2026","passed","Mon Mar 02 01:12:40 UTC 2026","TestBooking","test_booking","",""
"","170","Test that a specific booking contains all data specified during its creation","tests","Mon Mar 02 01:12:38 UTC 2026","passed","Mon Mar 02 01:12:38 UTC 2026","TestBooking","test_booking","",""
"","175","Test that lastname can be updated","tests","Mon Mar 02 01:12:39 UTC 2026","passed","Mon Mar 02 01:12:39 UTC 2026","TestBooking","test_booking","",""
"","109","Test that get_all_booking_ids returns a list of objects with bookingid","tests","Mon Mar 02 01:12:37 UTC 2026","passed","Mon Mar 02 01:12:37 UTC 2026","TestBooking","test_booking","",""
"","172","Test that totalprice can be updated","tests","Mon Mar 02 01:12:39 UTC 2026","passed","Mon Mar 02 01:12:39 UTC 2026","TestBooking","test_booking","",""
"","154","Test that delete a booking returns status 201","tests","Mon Mar 02 01:12:40 UTC 2026","passed","Mon Mar 02 01:12:40 UTC 2026","TestBooking","test_booking","",""
"","253","Test that once booking is deleted it is not available in the list of all bookings","tests","Mon Mar 02 01:12:40 UTC 2026","passed","Mon Mar 02 01:12:40 UTC 2026","TestBooking","test_booking","",""
"","192","Test that firstname can be updated","tests","Mon Mar 02 01:12:38 UTC 2026","passed","Mon Mar 02 01:12:39 UTC 2026","TestBooking","test_booking","",""
"","100","Test that create_new_booking returns status 200","tests","Mon Mar 02 01:12:38 UTC 2026","passed","Mon Mar 02 01:12:38 UTC 2026","TestBooking","test_booking","",""
"","144","Test that get_all_booking_ids returns status 200","tests","Mon Mar 02 01:12:37 UTC 2026","passed","Mon Mar 02 01:12:37 UTC 2026","TestBooking","Tests for Restful-Booker","",""
"","113","Test that get_all_booking_ids returns more than zero bookings","tests","Mon Mar 02 01:12:37 UTC 2026","passed","Mon Mar 02 01:12:37 UTC 2026","TestBooking","test_booking","",""
"","195","Test that a booking response has expected structure (fields and types)","tests","Mon Mar 02 01:12:37 UTC 2026","passed","Mon Mar 02 01:12:38 UTC 2026","TestBooking","test_booking","",""
"","176","Test that depositpaid can be updated","tests","Mon Mar 02 01:12:39 UTC 2026","passed","Mon Mar 02 01:12:39 UTC 2026","TestBooking","test_booking","",""
"","96","Test that getting a non-existent booking returns 404","tests","Mon Mar 02 01:12:41 UTC 2026","passed","Mon Mar 02 01:12:41 UTC 2026","TestBooking","test_booking","",""
"","156","Test that updating without auth token returns 403","tests","Mon Mar 02 01:12:41 UTC 2026","passed","Mon Mar 02 01:12:41 UTC 2026","TestBooking","test_booking","",""
"","218","Test that bookingdates can be updated","tests","Mon Mar 02 01:12:39 UTC 2026","passed","Mon Mar 02 01:12:40 UTC 2026","TestBooking","test_booking","",""
"","200","Test that a new booking is available in the list of all existing bookings","tests","Mon Mar 02 01:12:38 UTC 2026","passed","Mon Mar 02 01:12:38 UTC 2026","TestBooking","test_booking","",""
