"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","464","Test that bookingdates can be updated","tests","Mon Mar 02 01:12:07 UTC 2026","passed","Mon Mar 02 01:12:08 UTC 2026","TestBooking","test_booking","",""
"","225","Test that get_all_booking_ids returns a list of objects with bookingid","tests","Mon Mar 02 01:12:01 UTC 2026","passed","Mon Mar 02 01:12:01 UTC 2026","TestBooking","test_booking","",""
"","242","Test that getting a non-existent booking returns 404","tests","Mon Mar 02 01:12:10 UTC 2026","passed","Mon Mar 02 01:12:10 UTC 2026","TestBooking","test_booking","",""
"","458","Test that lastname can be updated","tests","Mon Mar 02 01:12:05 UTC 2026","passed","Mon Mar 02 01:12:05 UTC 2026","TestBooking","test_booking","",""
"","478","Test that firstname can be updated","tests","Mon Mar 02 01:12:04 UTC 2026","passed","Mon Mar 02 01:12:05 UTC 2026","TestBooking","test_booking","",""
"","243","Test that get_all_booking_ids returns status 200","tests","Mon Mar 02 01:12:00 UTC 2026","passed","Mon Mar 02 01:12:00 UTC 2026","TestBooking","Tests for Restful-Booker","",""
"","524","Test that a new booking is available in the list of all existing bookings","tests","Mon Mar 02 01:12:03 UTC 2026","passed","Mon Mar 02 01:12:03 UTC 2026","TestBooking","test_booking","",""
"","469","Test that updating without auth token returns 403","tests","Mon Mar 02 01:12:11 UTC 2026","passed","Mon Mar 02 01:12:11 UTC 2026","TestBooking","test_booking","",""
"","261","Test that get_all_booking_ids returns more than zero bookings","tests","Mon Mar 02 01:12:01 UTC 2026","passed","Mon Mar 02 01:12:01 UTC 2026","TestBooking","test_booking","",""
"","245","Test that create_new_booking returns status 200","tests","Mon Mar 02 01:12:02 UTC 2026","passed","Mon Mar 02 01:12:03 UTC 2026","TestBooking","test_booking","",""
"","464","Test that totalprice can be updated","tests","Mon Mar 02 01:12:06 UTC 2026","passed","Mon Mar 02 01:12:06 UTC 2026","TestBooking","test_booking","",""
"","445","Test that a specific booking contains all data specified during its creation","tests","Mon Mar 02 01:12:04 UTC 2026","passed","Mon Mar 02 01:12:04 UTC 2026","TestBooking","test_booking","",""
"","468","Test that a booking response has expected structure (fields and types)","tests","Mon Mar 02 01:12:02 UTC 2026","passed","Mon Mar 02 01:12:02 UTC 2026","TestBooking","test_booking","",""
"","437","Test that delete a booking returns status 201","tests","Mon Mar 02 01:12:08 UTC 2026","passed","Mon Mar 02 01:12:09 UTC 2026","TestBooking","test_booking","",""
"","659","Test that once booking is deleted it is not available in the list of all bookings","tests","Mon Mar 02 01:12:09 UTC 2026","passed","Mon Mar 02 01:12:10 UTC 2026","TestBooking","test_booking","",""
"","441","Test that depositpaid can be updated","tests","Mon Mar 02 01:12:06 UTC 2026","passed","Mon Mar 02 01:12:07 UTC 2026","TestBooking","test_booking","",""
"","487","Test that additionalneeds can be updated","tests","Mon Mar 02 01:12:08 UTC 2026","passed","Mon Mar 02 01:12:08 UTC 2026","TestBooking","test_booking","",""
