"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","576","Test that firstname can be updated","tests","Sun Mar 01 20:59:39 UTC 2026","passed","Sun Mar 01 20:59:40 UTC 2026","TestBooking","test_booking","",""
"","559","Test that totalprice can be updated","tests","Sun Mar 01 20:59:41 UTC 2026","passed","Sun Mar 01 20:59:42 UTC 2026","TestBooking","test_booking","",""
"","422","Test that get_all_booking_ids returns more than zero bookings","tests","Sun Mar 01 20:59:35 UTC 2026","passed","Sun Mar 01 20:59:35 UTC 2026","TestBooking","test_booking","",""
"","587","Test that bookingdates can be updated","tests","Sun Mar 01 20:59:43 UTC 2026","passed","Sun Mar 01 20:59:43 UTC 2026","TestBooking","test_booking","",""
"","569","Test that additionalneeds can be updated","tests","Sun Mar 01 20:59:44 UTC 2026","passed","Sun Mar 01 20:59:44 UTC 2026","TestBooking","test_booking","",""
"","457","Test that get_all_booking_ids returns status 200","tests","Sun Mar 01 20:59:34 UTC 2026","passed","Sun Mar 01 20:59:34 UTC 2026","TestBooking","Tests for Restful-Booker","",""
"","1044","Test that once booking is deleted it is not available in the list of all bookings","tests","Sun Mar 01 20:59:45 UTC 2026","passed","Sun Mar 01 20:59:47 UTC 2026","TestBooking","test_booking","",""
"","704","Test that a new booking is available in the list of all existing bookings","tests","Sun Mar 01 20:59:38 UTC 2026","passed","Sun Mar 01 20:59:38 UTC 2026","TestBooking","test_booking","",""
"","593","Test that depositpaid can be updated","tests","Sun Mar 01 20:59:42 UTC 2026","passed","Sun Mar 01 20:59:43 UTC 2026","TestBooking","test_booking","",""
"","288","Test that create_new_booking returns status 200","tests","Sun Mar 01 20:59:37 UTC 2026","passed","Sun Mar 01 20:59:37 UTC 2026","TestBooking","test_booking","",""
"","414","Test that get_all_booking_ids returns a list of objects with bookingid","tests","Sun Mar 01 20:59:35 UTC 2026","passed","Sun Mar 01 20:59:36 UTC 2026","TestBooking","test_booking","",""
"","579","Test that delete a booking returns status 201","tests","Sun Mar 01 20:59:45 UTC 2026","passed","Sun Mar 01 20:59:45 UTC 2026","TestBooking","test_booking","",""
"","578","Test that lastname can be updated","tests","Sun Mar 01 20:59:40 UTC 2026","passed","Sun Mar 01 20:59:41 UTC 2026","TestBooking","test_booking","",""
"","652","Test that a booking response has expected structure (fields and types)","tests","Sun Mar 01 20:59:36 UTC 2026","passed","Sun Mar 01 20:59:37 UTC 2026","TestBooking","test_booking","",""
"","570","Test that a specific booking contains all data specified during its creation","tests","Sun Mar 01 20:59:39 UTC 2026","passed","Sun Mar 01 20:59:39 UTC 2026","TestBooking","test_booking","",""
