"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","169","Test that get_all_booking_ids returns status 200","tests","Mon Mar 02 01:09:41 UTC 2026","passed","Mon Mar 02 01:09:42 UTC 2026","TestBooking","Tests for Restful-Booker","",""
"","128","Test that create_new_booking returns status 200","tests","Mon Mar 02 01:09:42 UTC 2026","passed","Mon Mar 02 01:09:43 UTC 2026","TestBooking","test_booking","",""
"","238","Test that a new booking is available in the list of all existing bookings","tests","Mon Mar 02 01:09:43 UTC 2026","passed","Mon Mar 02 01:09:43 UTC 2026","TestBooking","test_booking","",""
"","218","Test that a booking response has expected structure (fields and types)","tests","Mon Mar 02 01:09:42 UTC 2026","passed","Mon Mar 02 01:09:42 UTC 2026","TestBooking","test_booking","",""
"","325","Test that once booking is deleted it is not available in the list of all bookings","tests","Mon Mar 02 01:09:45 UTC 2026","passed","Mon Mar 02 01:09:46 UTC 2026","TestBooking","test_booking","",""
"","315","Test that totalprice can be updated","tests","Mon Mar 02 01:09:44 UTC 2026","passed","Mon Mar 02 01:09:44 UTC 2026","TestBooking","test_booking","",""
"","194","Test that additionalneeds can be updated","tests","Mon Mar 02 01:09:45 UTC 2026","passed","Mon Mar 02 01:09:45 UTC 2026","TestBooking","test_booking","",""
"","202","Test that updating without auth token returns 403","tests","Mon Mar 02 01:09:46 UTC 2026","passed","Mon Mar 02 01:09:46 UTC 2026","TestBooking","test_booking","",""
"","184","Test that firstname can be updated","tests","Mon Mar 02 01:09:43 UTC 2026","passed","Mon Mar 02 01:09:43 UTC 2026","TestBooking","test_booking","",""
"","146","Test that get_all_booking_ids returns a list of objects with bookingid","tests","Mon Mar 02 01:09:42 UTC 2026","passed","Mon Mar 02 01:09:42 UTC 2026","TestBooking","test_booking","",""
"","83","Test that getting a non-existent booking returns 404","tests","Mon Mar 02 01:09:46 UTC 2026","passed","Mon Mar 02 01:09:46 UTC 2026","TestBooking","test_booking","",""
"","184","Test that lastname can be updated","tests","Mon Mar 02 01:09:44 UTC 2026","passed","Mon Mar 02 01:09:44 UTC 2026","TestBooking","test_booking","",""
"","166","Test that get_all_booking_ids returns more than zero bookings","tests","Mon Mar 02 01:09:42 UTC 2026","passed","Mon Mar 02 01:09:42 UTC 2026","TestBooking","test_booking","",""
"","195","Test that depositpaid can be updated","tests","Mon Mar 02 01:09:44 UTC 2026","passed","Mon Mar 02 01:09:44 UTC 2026","TestBooking","test_booking","",""
"","187","Test that delete a booking returns status 201","tests","Mon Mar 02 01:09:45 UTC 2026","passed","Mon Mar 02 01:09:45 UTC 2026","TestBooking","test_booking","",""
"","186","Test that a specific booking contains all data specified during its creation","tests","Mon Mar 02 01:09:43 UTC 2026","passed","Mon Mar 02 01:09:43 UTC 2026","TestBooking","test_booking","",""
"","181","Test that bookingdates can be updated","tests","Mon Mar 02 01:09:45 UTC 2026","passed","Mon Mar 02 01:09:45 UTC 2026","TestBooking","test_booking","",""
