"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","176","Test that a specific booking contains all data specified during its creation","tests","Sun Mar 01 20:10:01 UTC 2026","passed","Sun Mar 01 20:10:02 UTC 2026","TestBooking","test_booking","",""
"","139","Test that get_all_booking_ids returns more than zero bookings","tests","Sun Mar 01 20:10:01 UTC 2026","passed","Sun Mar 01 20:10:01 UTC 2026","TestBooking","test_booking","",""
"","79","Test that create_new_booking returns status 200","tests","Sun Mar 01 20:10:01 UTC 2026","passed","Sun Mar 01 20:10:01 UTC 2026","TestBooking","test_booking","",""
"","338","Test that once booking is deleted it is not available in the list of all bookings","tests","Sun Mar 01 20:10:02 UTC 2026","passed","Sun Mar 01 20:10:03 UTC 2026","TestBooking","test_booking","",""
"","145","Test that get_all_booking_ids returns status 200","tests","Sun Mar 01 20:10:00 UTC 2026","passed","Sun Mar 01 20:10:01 UTC 2026","TestBooking","Tests for Restful-Booker","",""
"","158","Test that a first name can be updated","tests","Sun Mar 01 20:10:02 UTC 2026","passed","Sun Mar 01 20:10:02 UTC 2026","TestBooking","test_booking","",""
"","220","Test that a new booking is available in the list of all existing bookings","tests","Sun Mar 01 20:10:01 UTC 2026","passed","Sun Mar 01 20:10:01 UTC 2026","TestBooking","test_booking","",""
"","193","Test that delete a booking returns status 201","tests","Sun Mar 01 20:10:02 UTC 2026","passed","Sun Mar 01 20:10:02 UTC 2026","TestBooking","test_booking","",""
