"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","465","Test that delete a booking returns status 201","tests","Mon Mar 02 01:16:53 UTC 2026","passed","Mon Mar 02 01:16:53 UTC 2026","TestBooking","test_booking","",""
"","840","Test that once booking is deleted it is not available in the list of all bookings","tests","Mon Mar 02 01:16:54 UTC 2026","passed","Mon Mar 02 01:16:54 UTC 2026","TestBooking","test_booking","",""
"","467","Test that bookingdates can be updated","tests","Mon Mar 02 01:16:51 UTC 2026","passed","Mon Mar 02 01:16:52 UTC 2026","TestBooking","test_booking","",""
"","499","Test that totalprice can be updated","tests","Mon Mar 02 01:16:50 UTC 2026","passed","Mon Mar 02 01:16:51 UTC 2026","TestBooking","test_booking","",""
"","462","Test that additionalneeds can be updated","tests","Mon Mar 02 01:16:52 UTC 2026","passed","Mon Mar 02 01:16:53 UTC 2026","TestBooking","test_booking","",""
"","551","Test that a new booking is available in the list of all existing bookings","tests","Mon Mar 02 01:16:47 UTC 2026","passed","Mon Mar 02 01:16:48 UTC 2026","TestBooking","test_booking","",""
"","497","Test that updating without auth token returns 403","tests","Mon Mar 02 01:16:55 UTC 2026","passed","Mon Mar 02 01:16:56 UTC 2026","TestBooking","test_booking","",""
"","451","Test that a specific booking contains all data specified during its creation","tests","Mon Mar 02 01:16:48 UTC 2026","passed","Mon Mar 02 01:16:48 UTC 2026","TestBooking","test_booking","",""
"","467","Test that firstname can be updated","tests","Mon Mar 02 01:16:49 UTC 2026","passed","Mon Mar 02 01:16:49 UTC 2026","TestBooking","test_booking","",""
"","486","Test that a booking response has expected structure (fields and types)","tests","Mon Mar 02 01:16:46 UTC 2026","passed","Mon Mar 02 01:16:46 UTC 2026","TestBooking","test_booking","",""
"","221","Test that create_new_booking returns status 200","tests","Mon Mar 02 01:16:47 UTC 2026","passed","Mon Mar 02 01:16:47 UTC 2026","TestBooking","test_booking","",""
"","492","Test that depositpaid can be updated","tests","Mon Mar 02 01:16:51 UTC 2026","passed","Mon Mar 02 01:16:51 UTC 2026","TestBooking","test_booking","",""
"","337","Test that get_all_booking_ids returns more than zero bookings","tests","Mon Mar 02 01:16:45 UTC 2026","passed","Mon Mar 02 01:16:45 UTC 2026","TestBooking","test_booking","",""
"","335","Test that get_all_booking_ids returns a list of objects with bookingid","tests","Mon Mar 02 01:16:45 UTC 2026","passed","Mon Mar 02 01:16:46 UTC 2026","TestBooking","test_booking","",""
"","378","Test that get_all_booking_ids returns status 200","tests","Mon Mar 02 01:16:44 UTC 2026","passed","Mon Mar 02 01:16:44 UTC 2026","TestBooking","Tests for Restful-Booker","",""
"","494","Test that lastname can be updated","tests","Mon Mar 02 01:16:49 UTC 2026","passed","Mon Mar 02 01:16:50 UTC 2026","TestBooking","test_booking","",""
"","227","Test that getting a non-existent booking returns 404","tests","Mon Mar 02 01:16:55 UTC 2026","passed","Mon Mar 02 01:16:55 UTC 2026","TestBooking","test_booking","",""
