"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","234","Test that a specific booking contains all data specified during its creation","tests","Sun Mar 01 21:27:38 UTC 2026","passed","Sun Mar 01 21:27:38 UTC 2026","TestBooking","test_booking","",""
"","173","Test that lastname can be updated","tests","Sun Mar 01 21:27:38 UTC 2026","passed","Sun Mar 01 21:27:38 UTC 2026","TestBooking","test_booking","",""
"","206","Test that a new booking is available in the list of all existing bookings","tests","Sun Mar 01 21:27:37 UTC 2026","passed","Sun Mar 01 21:27:37 UTC 2026","TestBooking","test_booking","",""
"","178","Test that additionalneeds can be updated","tests","Sun Mar 01 21:27:39 UTC 2026","passed","Sun Mar 01 21:27:39 UTC 2026","TestBooking","test_booking","",""
"","155","Test that totalprice can be updated","tests","Sun Mar 01 21:27:38 UTC 2026","passed","Sun Mar 01 21:27:39 UTC 2026","TestBooking","test_booking","",""
"","116","Test that get_all_booking_ids returns a list of objects with bookingid","tests","Sun Mar 01 21:27:36 UTC 2026","passed","Sun Mar 01 21:27:37 UTC 2026","TestBooking","test_booking","",""
"","288","Test that depositpaid can be updated","tests","Sun Mar 01 21:27:39 UTC 2026","passed","Sun Mar 01 21:27:39 UTC 2026","TestBooking","test_booking","",""
"","116","Test that get_all_booking_ids returns more than zero bookings","tests","Sun Mar 01 21:27:36 UTC 2026","passed","Sun Mar 01 21:27:36 UTC 2026","TestBooking","test_booking","",""
"","180","Test that firstname can be updated","tests","Sun Mar 01 21:27:38 UTC 2026","passed","Sun Mar 01 21:27:38 UTC 2026","TestBooking","test_booking","",""
"","176","Test that delete a booking returns status 201","tests","Sun Mar 01 21:27:40 UTC 2026","passed","Sun Mar 01 21:27:40 UTC 2026","TestBooking","test_booking","",""
"","259","Test that a booking response has expected structure (fields and types)","tests","Sun Mar 01 21:27:37 UTC 2026","passed","Sun Mar 01 21:27:37 UTC 2026","TestBooking","test_booking","",""
"","195","Test that bookingdates can be updated","tests","Sun Mar 01 21:27:39 UTC 2026","passed","Sun Mar 01 21:27:39 UTC 2026","TestBooking","test_booking","",""
"","78","Test that create_new_booking returns status 200","tests","Sun Mar 01 21:27:37 UTC 2026","passed","Sun Mar 01 21:27:37 UTC 2026","TestBooking","test_booking","",""
"","160","Test that get_all_booking_ids returns status 200","tests","Sun Mar 01 21:27:36 UTC 2026","passed","Sun Mar 01 21:27:36 UTC 2026","TestBooking","Tests for Restful-Booker","",""
"","313","Test that once booking is deleted it is not available in the list of all bookings","tests","Sun Mar 01 21:27:40 UTC 2026","passed","Sun Mar 01 21:27:40 UTC 2026","TestBooking","test_booking","",""
