"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","89","Test that a new booking is available in the list of all existing bookings","tests","Mon Mar 02 01:16:48 UTC 2026","passed","Mon Mar 02 01:16:48 UTC 2026","TestBooking","test_booking","",""
"","72","Test that totalprice can be updated","tests","Mon Mar 02 01:16:49 UTC 2026","passed","Mon Mar 02 01:16:49 UTC 2026","TestBooking","test_booking","",""
"","31","Test that create_new_booking returns status 200","tests","Mon Mar 02 01:16:48 UTC 2026","passed","Mon Mar 02 01:16:48 UTC 2026","TestBooking","test_booking","",""
"","69","Test that delete a booking returns status 201","tests","Mon Mar 02 01:16:49 UTC 2026","passed","Mon Mar 02 01:16:49 UTC 2026","TestBooking","test_booking","",""
"","82","Test that depositpaid can be updated","tests","Mon Mar 02 01:16:49 UTC 2026","passed","Mon Mar 02 01:16:49 UTC 2026","TestBooking","test_booking","",""
"","46","Test that get_all_booking_ids returns status 200","tests","Mon Mar 02 01:16:48 UTC 2026","passed","Mon Mar 02 01:16:48 UTC 2026","TestBooking","Tests for Restful-Booker","",""
"","66","Test that bookingdates can be updated","tests","Mon Mar 02 01:16:49 UTC 2026","passed","Mon Mar 02 01:16:49 UTC 2026","TestBooking","test_booking","",""
"","83","Test that a booking response has expected structure (fields and types)","tests","Mon Mar 02 01:16:48 UTC 2026","passed","Mon Mar 02 01:16:48 UTC 2026","TestBooking","test_booking","",""
"","149","Test that get_all_booking_ids returns a list of objects with bookingid","tests","Mon Mar 02 01:16:48 UTC 2026","passed","Mon Mar 02 01:16:48 UTC 2026","TestBooking","test_booking","",""
"","34","Test that getting a non-existent booking returns 404","tests","Mon Mar 02 01:16:49 UTC 2026","passed","Mon Mar 02 01:16:49 UTC 2026","TestBooking","test_booking","",""
"","71","Test that lastname can be updated","tests","Mon Mar 02 01:16:49 UTC 2026","passed","Mon Mar 02 01:16:49 UTC 2026","TestBooking","test_booking","",""
"","94","Test that a specific booking contains all data specified during its creation","tests","Mon Mar 02 01:16:48 UTC 2026","passed","Mon Mar 02 01:16:48 UTC 2026","TestBooking","test_booking","",""
"","125","Test that once booking is deleted it is not available in the list of all bookings","tests","Mon Mar 02 01:16:49 UTC 2026","passed","Mon Mar 02 01:16:49 UTC 2026","TestBooking","test_booking","",""
"","74","Test that additionalneeds can be updated","tests","Mon Mar 02 01:16:49 UTC 2026","passed","Mon Mar 02 01:16:49 UTC 2026","TestBooking","test_booking","",""
"","152","Test that get_all_booking_ids returns more than zero bookings","tests","Mon Mar 02 01:16:48 UTC 2026","passed","Mon Mar 02 01:16:48 UTC 2026","TestBooking","test_booking","",""
"","67","Test that updating without auth token returns 403","tests","Mon Mar 02 01:16:49 UTC 2026","passed","Mon Mar 02 01:16:50 UTC 2026","TestBooking","test_booking","",""
"","72","Test that firstname can be updated","tests","Mon Mar 02 01:16:48 UTC 2026","passed","Mon Mar 02 01:16:49 UTC 2026","TestBooking","test_booking","",""
