"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","448","Test that a new booking is available in the list of all existing bookings","tests","Sun Mar 01 19:42:07 UTC 2026","passed","Sun Mar 01 19:42:07 UTC 2026","TestBooking","test_booking","",""
"","202","Test that create_new_booking returns status 200","tests","Sun Mar 01 19:42:06 UTC 2026","passed","Sun Mar 01 19:42:06 UTC 2026","TestBooking","test_booking","",""
"","210","Test that get_all_booking_ids returns more than zero bookings","tests","Sun Mar 01 19:42:06 UTC 2026","passed","Sun Mar 01 19:42:06 UTC 2026","TestBooking","test_booking","",""
"","410","Test that a first name can be updated","tests","Sun Mar 01 19:42:08 UTC 2026","passed","Sun Mar 01 19:42:08 UTC 2026","TestBooking","test_booking","",""
"","407","Test that a specific booking contains all data specified during its creation","tests","Sun Mar 01 19:42:07 UTC 2026","passed","Sun Mar 01 19:42:08 UTC 2026","TestBooking","test_booking","",""
"","405","Test that delete a booking returns status 201","tests","Sun Mar 01 19:42:09 UTC 2026","passed","Sun Mar 01 19:42:09 UTC 2026","TestBooking","test_booking","",""
"","224","Test that get_all_booking_ids returns status 200","tests","Sun Mar 01 19:42:05 UTC 2026","passed","Sun Mar 01 19:42:06 UTC 2026","TestBooking","Tests for Restful-Booker","",""
"","612","Test that once booking is deleted it is not available in the list of all bookings","tests","Sun Mar 01 19:42:09 UTC 2026","passed","Sun Mar 01 19:42:10 UTC 2026","TestBooking","test_booking","",""
