"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","410","Test that a specific booking contains all data specified during its creation","tests","Sun Mar 01 21:04:35 UTC 2026","passed","Sun Mar 01 21:04:35 UTC 2026","TestBooking","test_booking","",""
"","401","Test that firstname can be updated","tests","Sun Mar 01 21:04:35 UTC 2026","passed","Sun Mar 01 21:04:36 UTC 2026","TestBooking","test_booking","",""
"","474","Test that a new booking is available in the list of all existing bookings","tests","Sun Mar 01 21:04:34 UTC 2026","passed","Sun Mar 01 21:04:35 UTC 2026","TestBooking","test_booking","",""
"","252","Test that get_all_booking_ids returns more than zero bookings","tests","Sun Mar 01 21:04:32 UTC 2026","passed","Sun Mar 01 21:04:32 UTC 2026","TestBooking","test_booking","",""
"","409","Test that totalprice can be updated","tests","Sun Mar 01 21:04:37 UTC 2026","passed","Sun Mar 01 21:04:37 UTC 2026","TestBooking","test_booking","",""
"","660","Test that once booking is deleted it is not available in the list of all bookings","tests","Sun Mar 01 21:04:40 UTC 2026","passed","Sun Mar 01 21:04:40 UTC 2026","TestBooking","test_booking","",""
"","204","Test that create_new_booking returns status 200","tests","Sun Mar 01 21:04:34 UTC 2026","passed","Sun Mar 01 21:04:34 UTC 2026","TestBooking","test_booking","",""
"","251","Test that get_all_booking_ids returns a list of objects with bookingid","tests","Sun Mar 01 21:04:32 UTC 2026","passed","Sun Mar 01 21:04:33 UTC 2026","TestBooking","test_booking","",""
"","406","Test that additionalneeds can be updated","tests","Sun Mar 01 21:04:38 UTC 2026","passed","Sun Mar 01 21:04:39 UTC 2026","TestBooking","test_booking","",""
"","405","Test that depositpaid can be updated","tests","Sun Mar 01 21:04:37 UTC 2026","passed","Sun Mar 01 21:04:38 UTC 2026","TestBooking","test_booking","",""
"","408","Test that delete a booking returns status 201","tests","Sun Mar 01 21:04:39 UTC 2026","passed","Sun Mar 01 21:04:39 UTC 2026","TestBooking","test_booking","",""
"","404","Test that bookingdates can be updated","tests","Sun Mar 01 21:04:38 UTC 2026","passed","Sun Mar 01 21:04:38 UTC 2026","TestBooking","test_booking","",""
"","461","Test that a booking response has expected structure (fields and types)","tests","Sun Mar 01 21:04:33 UTC 2026","passed","Sun Mar 01 21:04:33 UTC 2026","TestBooking","test_booking","",""
"","408","Test that lastname can be updated","tests","Sun Mar 01 21:04:36 UTC 2026","passed","Sun Mar 01 21:04:36 UTC 2026","TestBooking","test_booking","",""
"","271","Test that get_all_booking_ids returns status 200","tests","Sun Mar 01 21:04:31 UTC 2026","passed","Sun Mar 01 21:04:32 UTC 2026","TestBooking","Tests for Restful-Booker","",""
