"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","211","Test that a new booking is available in the list of all existing bookings","tests","Sun Mar 01 20:01:18 UTC 2026","passed","Sun Mar 01 20:01:18 UTC 2026","TestBooking","test_booking","",""
"","1210","Test that a first name can be updated","tests","Sun Mar 01 20:01:18 UTC 2026","passed","Sun Mar 01 20:01:19 UTC 2026","TestBooking","test_booking","",""
"","106","Test that get_all_booking_ids returns status 200","tests","Sun Mar 01 20:01:17 UTC 2026","passed","Sun Mar 01 20:01:17 UTC 2026","TestBooking","Tests for Restful-Booker","",""
"","79","Test that create_new_booking returns status 200","tests","Sun Mar 01 20:01:18 UTC 2026","passed","Sun Mar 01 20:01:18 UTC 2026","TestBooking","test_booking","",""
"","84","Test that get_all_booking_ids returns more than zero bookings","tests","Sun Mar 01 20:01:17 UTC 2026","passed","Sun Mar 01 20:01:17 UTC 2026","TestBooking","test_booking","",""
"","165","Test that delete a booking returns status 201","tests","Sun Mar 01 20:01:20 UTC 2026","passed","Sun Mar 01 20:01:20 UTC 2026","TestBooking","test_booking","",""
"","251","Test that once booking is deleted it is not available in the list of all bookings","tests","Sun Mar 01 20:01:20 UTC 2026","passed","Sun Mar 01 20:01:20 UTC 2026","TestBooking","test_booking","",""
"","180","Test that a specific booking contains all data specified during its creation","tests","Sun Mar 01 20:01:18 UTC 2026","passed","Sun Mar 01 20:01:18 UTC 2026","TestBooking","test_booking","",""
