"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","299","Test that a new booking is available in the list of all existing bookings","tests","Sun Mar 01 19:49:51 UTC 2026","passed","Sun Mar 01 19:49:52 UTC 2026","TestBooking","test_booking","",""
"","173","Test that a first name can be updated","tests","Sun Mar 01 19:49:52 UTC 2026","passed","Sun Mar 01 19:49:52 UTC 2026","TestBooking","test_booking","",""
"","164","Test that get_all_booking_ids returns more than zero bookings","tests","Sun Mar 01 19:49:51 UTC 2026","passed","Sun Mar 01 19:49:51 UTC 2026","TestBooking","test_booking","",""
"","167","Test that get_all_booking_ids returns status 200","tests","Sun Mar 01 19:49:50 UTC 2026","passed","Sun Mar 01 19:49:51 UTC 2026","TestBooking","Tests for Restful-Booker","",""
"","151","Test that a specific booking contains all data specified during its creation","tests","Sun Mar 01 19:49:52 UTC 2026","passed","Sun Mar 01 19:49:52 UTC 2026","TestBooking","test_booking","",""
"","188","Test that delete a booking returns status 201","tests","Sun Mar 01 19:49:52 UTC 2026","passed","Sun Mar 01 19:49:52 UTC 2026","TestBooking","test_booking","",""
"","277","Test that once booking is deleted it is not available in the list of all bookings","tests","Sun Mar 01 19:49:52 UTC 2026","passed","Sun Mar 01 19:49:53 UTC 2026","TestBooking","test_booking","",""
"","77","Test that create_new_booking returns status 200","tests","Sun Mar 01 19:49:51 UTC 2026","passed","Sun Mar 01 19:49:51 UTC 2026","TestBooking","test_booking","",""
