"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","284","Test that get_all_booking_ids returns more than zero bookings","tests","Sun Mar 01 20:51:52 UTC 2026","passed","Sun Mar 01 20:51:52 UTC 2026","TestBooking","test_booking","",""
"","843","Test that once booking is deleted it is not available in the list of all bookings","tests","Sun Mar 01 20:51:57 UTC 2026","passed","Sun Mar 01 20:51:58 UTC 2026","TestBooking","test_booking","",""
"","295","Test that get_all_booking_ids returns status 200","tests","Sun Mar 01 20:51:52 UTC 2026","passed","Sun Mar 01 20:51:52 UTC 2026","TestBooking","Tests for Restful-Booker","",""
"","568","Test that a first name can be updated","tests","Sun Mar 01 20:51:55 UTC 2026","passed","Sun Mar 01 20:51:56 UTC 2026","TestBooking","test_booking","",""
"","570","Test that a new booking is available in the list of all existing bookings","tests","Sun Mar 01 20:51:53 UTC 2026","passed","Sun Mar 01 20:51:54 UTC 2026","TestBooking","test_booking","",""
"","586","Test that delete a booking returns status 201","tests","Sun Mar 01 20:51:56 UTC 2026","passed","Sun Mar 01 20:51:57 UTC 2026","TestBooking","test_booking","",""
"","291","Test that create_new_booking returns status 200","tests","Sun Mar 01 20:51:53 UTC 2026","passed","Sun Mar 01 20:51:53 UTC 2026","TestBooking","test_booking","",""
"","607","Test that a specific booking contains all data specified during its creation","tests","Sun Mar 01 20:51:54 UTC 2026","passed","Sun Mar 01 20:51:55 UTC 2026","TestBooking","test_booking","",""
