"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","178","Test that a first name can be updated","tests","Sun Mar 01 20:55:18 UTC 2026","passed","Sun Mar 01 20:55:18 UTC 2026","TestBooking","test_booking","",""
"","80","Test that create_new_booking returns status 200","tests","Sun Mar 01 20:55:17 UTC 2026","passed","Sun Mar 01 20:55:17 UTC 2026","TestBooking","test_booking","",""
"","141","Test that get_all_booking_ids returns more than zero bookings","tests","Sun Mar 01 20:55:17 UTC 2026","passed","Sun Mar 01 20:55:17 UTC 2026","TestBooking","test_booking","",""
"","243","Test that a new booking is available in the list of all existing bookings","tests","Sun Mar 01 20:55:17 UTC 2026","passed","Sun Mar 01 20:55:18 UTC 2026","TestBooking","test_booking","",""
"","116","Test that get_all_booking_ids returns status 200","tests","Sun Mar 01 20:55:17 UTC 2026","passed","Sun Mar 01 20:55:17 UTC 2026","TestBooking","Tests for Restful-Booker","",""
"","192","Test that delete a booking returns status 201","tests","Sun Mar 01 20:55:18 UTC 2026","passed","Sun Mar 01 20:55:19 UTC 2026","TestBooking","test_booking","",""
"","175","Test that a specific booking contains all data specified during its creation","tests","Sun Mar 01 20:55:18 UTC 2026","passed","Sun Mar 01 20:55:18 UTC 2026","TestBooking","test_booking","",""
"","351","Test that once booking is deleted it is not available in the list of all bookings","tests","Sun Mar 01 20:55:19 UTC 2026","passed","Sun Mar 01 20:55:19 UTC 2026","TestBooking","test_booking","",""
